region,population
"BAGALKOTE",222823
"BALLARI",343275
"BELAGAVI",549540
"BENGALURU RURAL",170722
"BENGALURU URBAN",153861
"BIDAR",173634
"CHAMARAJANAGARA",249361
"CHIKKABALLAPURA",213815
"CHIKKAMAGALURU",290007
"CHITRADURGA",225603
"DAKSHINA KANNADA",250569
"DAVANGERE",237801
"DHARWAD",172219
"GADAG",136311
"HASSAN",548185
"HAVERI",261060
"KALABURAGI",385580
"KODAGU",71684
"KOLAR",209642
"KOPPAL",231413
"MANDYA",369986
"MYSURU",492598
"RAICHUR",245374
"RAMANAGARA",287502
"SHIVAMOGGA",518653
"TUMAKURU",431251
"UDUPI",254776
"UTTARA KANNADA",336312
"VIJAYAPURA",202111
"YADGIR",233336
